department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
FREN,FREN 101 Beginners' French I,"Grammar, composition, reading and oral practice.  Not available to students with the prerequisite for FREN 102.",Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 330A The Structure of Modern English: Sounds and Words - ENGL STRUCTURE 1,"An introduction to phonology, morphology, and lexical semantics.",Credits: 3,Pre-reqs:      (Third-year standing.),null,,,,,,,,,,,,
CPSC,CPSC 536H Topics in Algorithms and Complexity - EMPIRICAL ALGOR,,Credits: 3,null,null,,,,,,,,,,,,
NURS,NURS 506 Health Promotion in Practice,,Credits: 3,null,null,,,,,,,,,,,,
LING,LING 101 Languages of the World,"A survey of the linguistic map of the world, examining how languages are genetically classified and how different languages evolve. Principles underlying different writing systems and the decipherment of historical documents. Issues of languages in contact, minority language endangerment, language death and the role of English as a world language. Recommended but not required for an honours, major, or minor in linquistics or speech sciences.",Credits: 3,null,null,,,,,,,,,,,,
PHYS,PHYS 157 Introductory Physics for Engineers I,"Heat, thermodynamics, oscillations, waves, and sound. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414.",Credits: 3,"Pre-reqs:     One of PHYS 12, PHYS 100.","Co-reqs:      One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184.",,,,,,,,,,,,
STAT,STAT 398 Co-operative Work Placement I,Work experience in an industrial research setting. Normally taken during Winter Session of third year. Restricted to students admitted to the Co-operative Education Program in Statistics.,Credits: 3,Pre-reqs:      (Registration in Statistics Honours or Major Program.),null,,,,,,,,,,,,
GERM,GERM 500A Research Methods - RESEARCH METHODS,,Credits: 3,null,null,,,,,,,,,,,,
PHIL,PHIL 425A Philosophy of Language I - PHIL LANGUAGE 1,"Philosophical discussion of language, meaning, and communication.",Credits: 3,Pre-reqs:      (Philosophy or linguistics courses totaling 9 credits at the 200-level or above.),null,,,,,,,,,,,,
FREN,FREN 513B Studies in French-Canadian Literature - FR CANADIAN LIT,,Credits: 3,null,null,,,,,,,,,,,,
SPHA,"SPHA 511 Government, Business and Health Care Policy",,Credits: 1.5,null,null,,,,,,,,,,,,
FRST,FRST 534 Natural Resources Economics,,Credits: 4,null,null,,,,,,,,,,,,
PHIL,PHIL 550A Metaphysics - METAPHYSICS,,Credits: 3,null,null,,,,,,,,,,,,
BUSI,BUSI 455 Principles of Auditing,Principles of internal control, audit evidence, sampling and testing, audit reports, standards and responsibilities of the external audit.,Credits: 3,Pre-reqs:     BUSI 353. (Recommended prerequisite or corequisite: BUSI 450.),null,,,,,,,,
ARTH,ARTH 540C Studies in 20th Century Art - 20TH CENT ART,,Credits: 3,"This course, including a trip to Paris, will be offered via UBC\'s Go Global. Taught by Serge Guilbaut, ARTH 540C/CCST 501 will include study on UBC campus for 2015W term 2, and a study abroad component in Paris, for the first week in May 2016.  ||",null,,,,,,,,,,,,
EOSC,EOSC 328 Field Geology,Recording and processing geological data in the field. Held within the three weeks following April examinations after third year. A special fee is to be paid by January 31.,Credits: 3,"Pre-reqs:     All of EOSC 323, EOSC 330 and one of EOSC 321, EOSC 322.",null,,,,,,,,,,,,
LARC,LARC 531 Landscape Technologies I,"Terrain design, drainage and stormwater management.",Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 540B Seminar in Chemistry - ORGANIC SEMINAR,Compulsory for all graduate students in Chemistry. Pass/Fail.,Credits: 1,null,null,,,,,,,,,,,,
NURS,NURS 595 Scholarly Practice Advancement Research Project (SPAR),,Credits: 3,null,null,,,,,,,,,,,,
PATH,PATH 417A Human Bacterial Infections - HMN BACT INFCTNS,Students acquire content relating to the virulence factors of the bacteria and the pathophysiology of the host while working through case scenarios on their own and in online groups. Students taking this course must be willing to engage in both self-directed and small-group learning.,Credits: 3,Pre-reqs:     MICB 202. (Or equivalent.),null,,,,,,,,,,,,
POLI,POLI 562C Topics in International Relations - TOP IN INTER REL,,Credits: 3,null,null,,,,,,,,,,,,
AUDI,AUDI 547F Directed Reading in Audiology and Speech Sciences - DIR READ AUDI&SP,May be taken more than once.,Credits: 6,null,null,,,,,,,,,,,,
BIOC,BIOC 548C Directed Studies - DIRECTED STUDIES,"In special cases, with approval of the department head, advanced courses may be arranged for graduate students in attendance.",Credits: 4,null,null,,,,,,,,,,,,
BUSI,BUSI 400 Residential Property Analysis,"Underlying theory and techniques used in design, construction, and inspection of residential properties.",Credits: 3,null,null,,,,,,,,,,,,
ATSC,ATSC 212 Earth and Atmospheric Science Introductory Computing Laboratory,"Computing tools, including Unix/Linux, Web page creation, programming languages used for numerical calculation, database programs.",Credits: 1,Pre-reqs:     CPSC 110.,null,,,,,,,,,,,,
DENT,DENT 742 Emergency Patient Management,,Credits: 0,null,null,,,,,,,,,,,,
ARCH,ARCH 571B Seminar: Technology and Analysis - CRFT ARCH DTLNG,Topics across a range of building material and construction technology-based subject matter.,Credits: 3,"Pre-reqs:     All of ARCH 511, ARCH 512, ARCH 531.",null,,,,,,,,,,,,
PATH,PATH 501 Foundations of Human Histopathology,Microscopic anatomy of human tissues and organs in health and disease. Principles of histological analysis and applications in pathology.,Credits: 2,null,null,,,,,,,,,,,,
MATH,MATH 437 Number Theory,"Divisibility, congruences, Diophantine equations, arithmetic functions, quadratic reciprocity, advanced topics. Please consult the Faculty of Science Credit Exclusion List: www.students.ubc.ca/calendar/index.cfm?tree=12,215,410,414.",Credits: 3,"Co-reqs:      One of MATH 320, MATH 322.",null,,,,,,,,,,,,
EECE,EECE 549 Dynamic Modeling of Electric Machines and Controls,"Numerical aspects of time-domain simulation are reviewed. Dynamic modeling and analysis of power systems components including transformers, induction and synchronous machines, inverters, electric drives and associated controls.",Credits: 3,null,null,,,,,,,,,,,,
CRWR,CRWR 404B Writing for Radio I - WRIT RADIO I,A workshop class in writing for the radio. Admission is restricted to B.F.A. Majors in Creative Writing.,Credits: 3,null,null,,,,,,,,,,,,
HIST,HIST 490P Seminar for Majors in History - SEM FOR HIST MAJ,Selected problems in the theory and practice of historical work. Check with the department for course offerings. Restricted to fourth year students majoring in History or in the History and Philosophy of Science. Also open to History Honours students.,Credits: 3,null,null,,,,,,,,,,,,
SOWK,SOWK 400 Canadian Social Policy,"Analysis of race, gender, class and culture as factors in the distribution and delivery of Canadian social benefits and social services.",Credits: 3,null,null,,,,,,,,,,,,
DHYG,DHYG 405 Oral Microbiology and Immunology,Microbiology and immunological concepts relevant for dental hygiene practice.,Credits: 3,null,null,,,,,,,,,,,,
CAPS,CAPS 430 Advanced Laboratory in Physiology,"Methods, techniques, and use of instruments required for physiological investigation. CAPS 303 or PHYL 303 and the consent of the department are required and enrolment will be limited.",Credits: 6,null,null,,,,,,,,,,,,
EDUC,EDUC 496I Practicum (Secondary) for Previously Certified Teachers - TEACH PRACT SECD,Pass/Fail.,Credits: 9,Pre-reqs:      (Recent completion of secondary teaching methods courses in the subjects to be taught.),null,,,,,,,,,,,,
MATH,MATH 190 Calculus Survey,"Functions, derivatives, integrals, curve sketching growth functions, volume calculations.  Only for credit in the Faculty of Forestry.  Students with credit for MATH 100, 102, 104, 120, 180, or 184 cannot in the same term or later terms obtain credit for MATH 190.",Credits: 4,Pre-reqs:      (Principles of Mathematics 12 or Pre-calculus 12 and registration in the B.S.F. or B.Sc.N. programs.),null,,,,,,,,,,,,
EDCP,EDCP 323 Outdoor Environmental Education: Curriculum and Pedagogy,Costs for field trips and an overnight experience are borne by students. Pass/Fail.,Credits: 3,Sept 20- 10-4,null,,,,,,,,,,,,
CHIN,CHIN 473 Later Classical Chinese Poetry (after Tang),"Readings in classical poetry from the Song to the Qing dynasties, at an advanced level. Not to be taken concurrently with any CHIN courses lower than 400-level. Credit will be granted for only one of CHIN 473 or 474.",Credits: 3,"Pre-reqs:     One of CHIN 313, CHIN 314, CHIN 317, CHIN 318, CHIN 323.",null,,,,,,,,,,,,
LAW,LAW 461 Corporate Transactions,"Legal aspects of selected transactions relating to public corporations and corporate governance. Not offered each year, consult Faculty.",Credits: 3,null,null,,,,,,,,,,,,
HUNU,HUNU 531 M.Sc. Seminar,,Credits: 3,null,null,,,,,,,,,,,,
ARST,ARST 620 Advanced Study in Minor Area,,Credits: 6,null,null,,,,,,,,,,,,
FREN,FREN 329 Selected Works of European French Literature,"Representative works viewed in their historical, social, and cultural contexts.",Credits: 3,"Pre-reqs:     One of FREN 220, FREN 221.",null,,,,,,,,,,,,
STAT,STAT 404 Design and Analysis of Experiments,"Theory and application of analysis of variance for standard experimental designs, including blocked, nested, factorial and split plot designs. Fixed and random effects, multiple comparisons, analysis of covariance. (Consult the Credit Exclusion list within the Faculty of Science section in the Calendar).",Credits: 3,Pre-reqs:     STAT 305.,Co-reqs:      STAT 306.,,,,,,,,,,,,
ENGL,ENGL 357M Restoration and Eighteenth-Century Studies - RES & 18TH CENT,,Credits: 3,"Pre-reqs:      (3rd year standing and 6 credits of first-year English, or Arts One, or 6 credits of ASTU 100 from CAP or 3 credits of first-year English and 3 credits of ASTU 150)",null,,,,,,,,,,,,
BAEN,BAEN 506 Entrepreneurship Technology and Non-Technology Streams I,,Credits: 1.5,null,null,,,,,,,,,,,,
EDCP,EDCP 590 Graduating Paper,,Credits: 3,null,null,,,,,,,,,,,,
LLED,LLED 577 Culture and Politics in Second Language Education,,Credits: 3,null,null,,,,,,,,,,,,
ASTR,ASTR 549 M.Sc. Thesis,,Credits: 12,null,null,,,,,,,,,,,,
LLED,"LLED 446 Teaching with Illustrated Materials, K-12: From Picture Books to Information Texts",,Credits: 3,null,null,,,,,,,,,,,,
BIOL,BIOL 336 Fundamentals of Evolutionary Biology,"Natural selection; population genetics, quantitative genetics and systematics; classical and molecular approaches to the study of evolution.",Credits: 3,"Pre-reqs:     One of BIOL 233, BIOL 234, BIOL 334.",null,,,,,,,,,,,,
RMES,RMES 500X Resource and Environmental Workshop - INT ENV JUST,"Faculty and students from different disciplines act as an interdisciplinary team studying specific resource problems with ecological, economic, demographic and social dimensions. Techniques and methods are emphasized to show their value in integrating knowledge, defining policy and facilitating communication. Several sections with different emphasis offered each year.",Credits: 3,Pre-reqs:      (Permission of the instructor is required.),null,,,,,,,,,,,,
DENT,"DENT 724 Clinical Endodontics, Year 3",Endodontic treatment of patients in the clinic under the supervision of specialist instructors. Supervised endodontic treatment clinic.,Credits: 6,null,null,,,,,,,,,,,,
CLST,CLST 105 Greek and Roman Mythology,Greek and Roman mythology and its interpretation. Emphasis on ancient texts read in English translation.,Credits: 3,Prerequisites: None: Students with no prior knowledge of the subject are welcome.,null,,,,,,,,,,,,
GRS,GRS 497E Regional Directed Field Studies - REG DIR FLD STUD,Participating students may be assessed a fee.,Credits: 6,Pre-reqs:     GRS  397.,null,,,,,,,,,,,,
EDST,EDST 690 Ed.D. Thesis,Pass/Fail.,Credits: 0,null,null,,,,,,,,,,,,
EDUC,EDUC 490L Special Studies in Education - SPEC STUDIES ED,Topics not covered in a course. A pilot course may be offered under this name for only one year and with permission of the Associate Dean (Teacher Education).,Credits: 1,null,null,,,,,,,,,,,,
CHBE,CHBE 457 Process Synthesis,"Strategy for the conceptual design of industrial chemical and biological processes; rules of thumb for chemical engineers, simulation to assist process synthesis, reactor-separator network synthesis, introduction to product design and molecular structure design, efficiency and sustainability in the chemical industry.",Credits: 3,"Pre-reqs:     All of CHBE 241, CHBE 346, CHBE 376, CHBE 344.",null,,,,,,,,,,,,
EDCP,EDCP 357 Physics - Secondary: Curriculum and Pedagogy,Pass/Fail.,Credits: 3,Pre-reqs:      (A completed concentration in physics or permission of the Head.),null,,,,,,,,,,,,
CNPS,CNPS 532C Psychological Assessment in Counselling - PSYC ASSESS CNSL,"The use of standardized measures of mental ability, achievement, aptitude, interest and personality.",Credits: 6,null,null,,,,,,,,,,,,
CELL,CELL 503 Current Topics in Cellular Communication,Cellular communication within tissues by direct contact and by modulating and responding to the microenvironment.,Credits: 1.5,null,null,,,,,,,,,,,,
CHEM,CHEM 448B Directed Studies in Chemistry - T2 DST CHEMISTRY,Students will undertake an investigation of a specific topic as agreed upon by the student and the faculty supervisor. Open to third- and fourth-year chemistry students.,Credits: 3,null,null,,,,,,,,,,,,
ARTH,ARTH 535A Early Modern: Renaissance - RENAISSANCE ART,,Credits: 3,null,null,,,,,,,,,,,,
ARTH,ARTH 439 Seminar in 18th and 19th-Century Visual Culture,,Credits: 3,Equivalents:  ARTH 438,null,,,,,,,,,,,,
THTR,THTR 472 Advanced B.F.A. Acting II,Open only to B.F.A. Acting students.,Credits: 3,"Co-reqs:        (All of THTR 471, THTR 473, THTR 474.)",Equivalents:     (THTR 471 and THTR 472 are equivalent to THTR 361),,,,,,,,,,,,
EECE,EECE 571E Electrical Engineering Seminar and Special Problems - PARA COMP PLTFRM,,Credits: 3,null,null,,,,,,,,,,,,
AUDI,AUDI 514A Hearing Science I - HEARING SCI I,,Credits: 2,null,null,,,,,,,,,,,,
MINE,MINE 522B Processing of Mineral Fines - PRO MIN FINES,Particulate systems. Role of particle size and interfacial phenomena in properties of disperse systems. Stability of colloids and suspensions DLVO (Dejaguin-Landau-Vervey-Overbeek). Credit will be granted for only one of MINE 522 or MINE 572.,Credits: 4,null,null,,,,,,,,,,,,
BRDG,BRDG 500 Thesis and Journal Seminar,,Credits: 1.5,null,null,,,,,,,,,,,,
LAST,LAST 100 Introduction to Latin American Studies,An overview of the culture and society of Latin America from ancient to contemporary times and from Argentina to Mexico.,Credits: 3,null,null,,,,,,,,,,,,
LING,LING 546B Directed Reading in Topics related to Linguistics - DIRECTED READING,,Credits: 3,null,null,,,,,,,,,,,,
DHYG,DHYG 110 Dental Hygiene Theory and Practice I,"An introduction to the Dental Hygiene profession, practice roles and the process of care model.",Credits: 3,null,null,,,,,,,,,,,,
AUDI,AUDI 685C Seminar in Language Development - SEM LANG DEVELOP,,Credits: 3,null,null,,,,,,,,,,,,
MUSC,MUSC 649 Ph.D. Dissertation or D.M.A. Thesis,,Credits: 0,null,null,,,,,,,,,,,,
FNH,FNH 200 Exploring Our Food,"Chemical and physical properties of foods; issues pertaining to safety, nutritive value and consumer acceptability; government regulations pertaining to food safety, quality and additives; preservation techniques and transformation of agricultural commodities to food products; foods of the future.",Credits: 3,Pre-reqs:      (At least second year standing required.),null,,,,,,,,,,,,
CLST,"CLST 260 Gladiators, Games, and Spectacle in the Greek and Roman World","History, development, and social function of various forms of spectacle in ancient Greece and Rome, from the Olympic games to the Roman arena.",Credits: 3,null,null,,,,,,,,,,,,
HIST,HIST 549 Master's Thesis,,Credits: 12,null,null,,,,,,,,,,,,
MICB,MICB 424 Cellular Dynamics of Pathogenic and Environmental Bacteria,Regulatory and signalling networks in bacterial cells with emphasis on how cellular and environmental cues are detected and integrated during different growth or life history stages of important pathogenic and environmental bacteria.,Credits: 3,"Pre-reqs:     Either (a) MICB 301 or (b) all of MICB 201, MICB 325.",null,,,,,,,,,,,,
LLED,LLED 493B Supervised Study in Modern Languages Education - SPR ST MDN LANG,,Credits: 3,null,null,,,,,,,,,,,,
MUSC,MUSC 569A Intensive Specialized Chamber Ensemble - INT SPC CHMB ENS,Intensive coaching.,Credits: 1,null,null,,,,,,,,,,,,
CHBE,CHBE 381 Bioprocess Engineering I,Design of industrial bioreactor systems: organism selection, kinetics of microbial processes and enzyme reactions, design and modeling of single and multi-stage bioreactors.,Credits: 3,"Pre-reqs:     BIOL 112 and one of MATH 101, MATH 103, MATH 105, CHBE 241, CHBE 251. (Third or fourth year standing.)",null,,,,,,,,,,
APBI,APBI 497B Directed Studies - DIR STUDIES,,Credits: 3,Pre-reqs:      (Approval of program advisor.),null,,,,,,,,,,,,
CIVL,CIVL 413 Design of Earth Dams and Containment Structures,Purpose and types of dams, design criteria, construction sequence, compaction, seepage, filter design, factors influencing the design of earth dams, stability and deformation under static and earthquake loading, slope protection, field instrumentation.,Credits: 3,Pre-reqs:     CIVL 311. (Fourth-year standing.),null,,,
WOOD,WOOD 282 Wood Physics and Mechanics,"Wood-moisture relationships, transport phenomena, acoustical and electrical properties of wood. Effects of wood attributes at macro- and micro-levels on the strength properties of solid wood.",Credits: 3,Pre-reqs:     WOOD 280.,null,,,,,,,,,,,,
GRS,GRS 497B Regional Directed Field Studies - REG DIR FLD STUD,Participating students may be assessed a fee.,Credits: 3,Pre-reqs:     GRS  397.,null,,,,,,,,,,,,
CHBE,CHBE 459 Chemical and Biological Engineering Economics,Estimation of capital and operating costs, interest calculations, taxes, economic comparison of alternatives, economic optimization.,Credits: 3,null,null,,,,,,,,
POLI,POLI 580D Directed Studies - DIRECTED STUDIES,,Credits: 3,null,null,,,,,,,,,,,,
BIOL,BIOL 337 Introductory Genetics Laboratory,"A laboratory course demonstrating the fundamental principles of inheritance: Mendel's Laws, sex-linkage, mapping, mutagenesis, chromosome structure, developmental biology, biochemical and population genetics.",Credits: 3,Pre-reqs:     BIOL 200.,"Co-reqs:      One of BIOL 233, BIOL 234, BIOL 334.",,,,,,,,,,,,
CIVL,CIVL 437 Introduction to Ship Structures,Structural theory and practice of ship structural design, longitudinal and transverse strength of hull girder, plates and shells, matrix analysis, introduction to classification society rules, ship section design synthesis, finite element analysis.,Credits: 3,"Pre-reqs:     One of CIVL 332, MECH 360.",null,,,,,,
BIOL,BIOL 346 Microbes and Society,An elementary course in molecular biology primarily for Arts students. The historical development of recent discoveries in molecular biology with emphasis on bacteria and viruses and their interaction with humans. (Consult the Credit Exclusion list within the Faculty of Science section of the Calendar.) Not for credit in Life Sciences.,Credits: 3,null,null,,,,,,,,,,,,
SOWK,SOWK 450 Social Work Practice in Community Mental Health,Online course providing overview of social work services to persons with a mental illness.,Credits: 3,Pre-reqs:      (Fourth-year standing in SOWK.),null,,,,,,,,,,,,
LING,LING 447E Topics in Linguistics - TOPICS IN LING,"A capstone course for Linguistics and Speech Sciences majors, normally taken after three years of study.  Individual sections will differ substantially; see online Course List for detailed descriptions and prerequisites. May be repeated for credit when content is different.",Credits: 3,null,null,,,,,,,,,,,,
EPSE,EPSE 415 Technology for the Visually Impaired,"Preparation of teachers to work with a variety of technological devices designed for students who are blind or visually impaired, e.g., computers, electronic reading devices, and closed circuit television. This course is restricted to students enrolled in a program for Education of Visually Impaired Children.",Credits: 3,null,null,,,,,,,,,,,,
ENGL,ENGL 100 Reading and Writing about Literature,A writing-intensive introduction to the disciplines of literary studies through the exploration of texts in their critical and theoretical contexts. Fulfils the first-year component of the Faculty of Arts Writing and Research Requirement. Open only to students in the Faculty of Arts. Recommended for students intending to become English majors. Essays are required.,Credits: 3,"**Do not register for this class if you have already received credit for: WRDS 150, ASTU 150, ASTU 100A, ASTU 100B or Arts One. Only one of these can count towards your degree.",null,,,,,,,,,,,,
FRE,FRE 521E Topics in Food and Resource Economics - TOPICS IN FRE,,Credits: 1.5,null,null,,,,,,,,,,,,
FOOD,FOOD 530A Directed Studies - DIRECTED STUDIES,,Credits: 3,null,null,,,,,,,,,,,,
GERM,GERM 200 Intermediate German I,Competence and fluency in everyday situations, ability to report and narrate past events fluently and to express opinions, familiarity with contemporary issues in the German-speaking societies.,Credits: 3,Pre-reqs:     Either (a) GERM 110 or (b) GERM 12.,null,,,,,,,,,,
BAAC,BAAC 550 Foundations in  Accounting,Same as HCEC 502, credit will not be given for both.,Credits: 1.5,null,null,,,,,,,,,,,
CPEN,CPEN 481 Economic Analysis of Engineering Projects,"Time-money relationships; economic analysis of alternatives including the effects of interest rates, inflation, depreciation, taxation and uncertainty; cost estimation and budgeting; financial analysis of engineering operations.",Credits: 3,null,null,,,,,,,,,,,,
WOOD,WOOD 476 Design of Timber Structures,"Design of timber structural elements using limit states design principles; joints and fasteners, sawn lumber and engineered wood products, light frame systems and shear walls.",Credits: 3,"Pre-reqs:     One of WOOD 276, CIVL 230.",Equivalents:  CIVL 439,,,,,,,,,,,,
VISA,VISA 583A MFA Research Seminar - MFA RSRCH SEMINR,,Credits: 3,null,null,,,,,,,,,,,,
CIVL,CIVL 522 Project and Construction Economics,"Application of the principles of engineering economics, economics and systems analysis techniques to the mathematical modeling of civil engineering projects. Topics treated: modeling of capital expenditures, revenues and operating expenditures, project financing, sensitivity analysis, risk analysis and management.",Credits: 3,"If the course is full, please fill out the online course registration form available at the below web link http://www.civil.ubc.ca/webform/course-request-registration-form and submit it electronically.",null,,,,,,,,,,,,
CIVL,CIVL 599C M.A.Sc. Thesis - MASC THESIS,,Credits: 12,"If the course is full, please fill out the online course registration form available at the below web link http://www.civil.ubc.ca/webform/course-request-registration-form and submit it electronically.",null,,,,,,,,,,,,
MUSC,MUSC 407C Composition IV - COMPOSITION IV,Continuation of MUSC 307.,Credits: 6,null,null,,,,,,,,,,,,
FIPR,FIPR 434 Producing for Film and Television,The creative and business aspects of producing for film and television.,Credits: 3,null,null,,,,,,,,,,,,
WOOD,WOOD 493 Project in Program Major,"A report (approved by a faculty supervisor and the Program Director) based on either a technical description of a study, an extension of the senior co-op report, a detailed literature review, a research-based project, or a guided independent study developed by the student.",Credits: 3,Pre-reqs:      (Fourth-year standing),null,,,,,,,,,,,,
MINE,MINE 497T Directed Studies - UNDERGRAD THESIS,Requires approval of the department head.,Credits: 3,null,null,,,,,,,,,,,,
ECON,ECON 566 Business Performance and Public Policy,,Credits: 3,Registration available starting on June 12.,null,,,,,,,,,,,,
PSYC,PSYC 304 Brain and Behaviour,"The neurobiological bases of behaviour; brain processes involved in perception, motivation, emotion, psychopathology, learning and memory. Open to all Arts and Science majors except those in the B.Sc. Psychology program. Credit will not be given for both PSYC 304 and PSYC 360.",Credits: 6,"Pre-reqs:     Either (a) PSYC 100 or (b) all of PSYC 101, PSYC 102 or (c) two of PSYC 207, PSYC 208, PSYC 217, PSYC 218 or (d) PSYC 260.",null,,,,,,,,,,,,
ENGL,ENGL 490 Literature Majors Seminar,Required of all Literature Majors. See Department Website (www.english.ubc.ca) for options.,Credits: 3,null,null,,,,,,,,,,,,
CHEM,CHEM 445B Projects in Experimental Chemistry - PROJCTS EXP CHEM,"Principles of experimental design, practice and problem solving in chemistry, including the opportunity to pursue projects in a research setting.",Credits: 3,Pre-reqs:     CHEM 345. (or CHEM 335 and fourth-year standing in a Chemistry Combined Major specialization.),null,,,,,,,,,,,,
ANTH,ANTH 512 Language and Culture,,Credits: 3,null,null,,,,,,,,,,,,
PCTH,PCTH 300 Introduction to Pharmacology,"The concepts, language and techniques of scientific pharmacology. Intended primarily for Honours and Major students in Pharmacology.",Credits: 6,"Pre-reqs:     Either (a) all of BIOL 200, BIOL 201, CHEM 233, CHEM 235 or (b) all of BIOL 200, BIOL 201, CHEM 203, CHEM 204;  and CHEM 211 and one of CHEM 205, CHEM 201. (Permission of the undergraduate adviser is required.)",null,,,,,,,,,,,,
EOSC,"EOSC 350 Environmental, Geotechnical, and Exploration Geophysics I","Principles of geophysical survey design, data acquisition, processing and interpretation with emphasis on near-surface problems. Magnetic, seismic reflection/refraction, electromagnetic and ground penetrating radar surveys. Case history analysis of environmental and geotechnical problems.",Credits: 3,"Pre-reqs:     One of MATH 200, MATH 253. (and third-year standing or higher in Science or Applied Science.)",null,,,,,,,,,,,,
ECED,ECED 585E Advanced Seminar on Research in Early Childhood Education - RES EARLY CHLDHD,,Credits: 3,null,null,,,,,,,,,,,,
LARC,LARC 505 Landscape Architecture Design Studio V,,Credits: 9,"Pre-reqs:     One of LARC 502, ARCH 501.",null,,,,,,,,,,,,
SPHA,SPHA 556 Social Determinants of Health,Health planning and delivery models based on population health frameworks.,Credits: 1.5,null,null,,,,,,,,,,,,
FNH,FNH 451 Nutrient Metabolism and Implications for Health,Integration of nutrient and energy metabolism on a whole-body and individual tissue basis and the implication for health. Emphasis will be on regulation of nutrient metabolism.,Credits: 3,"Pre-reqs:     All of FNH  350, CAPS 301, BIOC 302.",null,,,,,,,,,,,,
CPSC,CPSC 317 Internet Computing,"Computer networking, basic communication protocols, network infrastructure and routing.  Common application-level protocols and principles associated with developing distributed applications.",Credits: 3,"Pre-reqs:     CPSC 213 and either (a) CPSC 221 or (b) all of CPSC 210, CPSC 260, EECE 320.",null,,,,,,,,,,,,
CRWR,CRWR 509B Advanced Writing of Fiction I - ADV WRT FICTN I,,Credits: 6,null,null,,,,,,,,,,,,
CPSC,CPSC 314 Computer Graphics,Human vision and colour, geometric transformations, algorithms for 2-D and 3-D graphics, hardware and system architectures, shading and lighting, animation. (Consult the Credit Exclusion list within the Faculty of Science section of the Calendar.),Credits: 3,"Pre-reqs:     One of MATH 200, MATH 253 and one of MATH 152, MATH 221, MATH 223 and either (a) CPSC 221 or (b) all of CPSC 260, EECE 320.",null,,,,,,,
MECH,MECH 459 Biomedical Design Project,"A capstone design program designed to give students experience in the design and development of practical biomedical devices. Projects are provided by local industry and engineering research laboratories. For students in the Biomedical Option only. Credit will be given for only one of: MECH 454, MECH 457, MECH 458, MECH 459, or APSC 496.",Credits: 6,Pre-reqs:     MECH 328. (and fourth-year standing in the Biomedical Option.),null,,,,,,,,,,,,
FREN,FREN 223 French Language and Style II,"Grammar, vocabulary, composition, language in context. To be taken by all students intending to proceed to the Minor, Major or Honours program. Credit will not be granted for both FREN 223 and FREN 343.",Credits: 3,Pre-reqs:     FREN 222. (Or assignment based on placement test.),null,,,,,,,,,,,,
COMM,COMM 387 Entrepreneurial Finance,"Financial issues encountered by those active on the investing side of entrepreneurship, such as working for banks, venture capital firms, or corporate venture organizations, or anyone interacting with entrepreneurs and private equity investors.",Credits: 3,null,null,,,,,,,,,,,,
APBI,APBI 426 Plant-Microbe Interactions,Biology and physiology of selected plant-microbe relationships. Impacts of plant-microbe relationships on society.,Credits: 3,Pre-reqs:     BIOL 201.,Equivalents:  BIOL 421,,,,,,,,,,,,
CEEN,CEEN 523 Energy and the Environment,Energy/environment/society interactions, development of energy resources, energy demand and its determinants, policy dimension of energy and climate change, impacts on ecosystems, life cycle analysis, impact assessment and other tools for quantitative and qualitative evaluation of alternative energy sources.,Credits: 3,null,null,,,,,,
COMM,COMM 486S Special Topics in Business - ADV SOCIAL MEDIA,,Credits: 3,null,null,,,,,,,,,,,,
ASTU,ASTU 502 Co-operative Work Placement 2,,Credits: 3,Pre-reqs:     ASTU 501.,null,,,,,,,,,,,,
COMM,COMM 487 Environmental Management,"Explores corporate environmental strategy by introducing economic principles underlying environmental policy, law, and technologies for pollution prevention and abatement, environmental management systems, ISO-14001, energy systems, eco-marketing, and life-cycle analysis.  Credit will be granted for only one of COMM 487 or COMM 597.",Credits: 3,null,null,,,,,,,,,,,,
RMES,RMES 599 Master's Thesis,,Credits: 12,null,null,,,,,,,,,,,,
EMBA,EMBA 586A Directed Studies - DIRECTED STUDIES,Restricted to Executive M.B.A. students.,Credits: 3.0,null,null,,,,,,,,,,,,
LAW,LAW 338D Japanese Law - JAPANESE LAW,Constitutional foundation and protection of human rights under Japanese law.,Credits: 3,null,null,,,,,,,,,,,,
FREN,FREN 220 Introduction to Early French Literature and to Textual Analysis,"Students will familiarize themselves with techniques of literary analysis, as applied to representative works from the Middle Ages to the 17th century, including theatre, fiction, poetry and non-fiction prose. To be taken by all students intending to proceed to the Minor, Major or Honours program.",Credits: 3,Pre-reqs:     FREN 123. (or assignment based on placement test.),null,,,,,,,,,,,,
FIST,FIST 445 Majors and Honours Seminar,,Credits: 3,null,null,,,,,,,,,,,,
