department,name,description,credits,prerequisites,corequisites,,,,,,,,,,,,
VISA,VISA 260 Basic Sculpture,Contemporary sculpture practice and theory. Various sculpture materials and technologies including machinery use.,Credits: 3,"Pre-reqs:     A score of 72% or higher in VISA 110 and a score of 72% or higher in one of VISA 180, VISA 182 and a score of 72% or higher in VISA 183.",null,,,,,,,,,,,,
PCTH,PCTH 502 Drugs and Intercellular Communication (including Neuropharmacology),"Lectures, discussions and assigned reading on the actions of drugs on the production, release and cellular effects of hormones and neurotransmitters. Given in odd-numbered and alternate years.",Credits: 4,Day and time of the course will be arranged at a later time.,null,,,,,,,,,,,,
MUSC,MUSC 162A Wind and Percussion Chamber Ensembles - WIND CHAMB ENS,"May be repeated for credit in accordance with program requirements for B.Mus. or B.A. in Music. Open to other students by audition, with credit, as stipulated by their faculties.",Credits: 2,null,null,,,,,,,,,,,,
EOSC,EOSC 571C Seminar in Physical Oceanography and Atmospheric Science - SEM PHYSICL OCGY,,Credits: 3,null,null,,,,,,,,,,,,
PHYS,PHYS 117 Dynamics and Waves,"Kinematics including curvilinear motion. Forces and Newton's laws of motion. Work-energy theorem, conservation of energy. Conservation of momentum, collisions. Torque, rotational dynamics, angular momentum. Oscillations and waves. Please consult the Faculty of Science credit exclusion list: http://www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414.",Credits: 3,"Pre-reqs:     One of PHYS 12, PHYS 100.","Co-reqs:      One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184.",,,,,,,,,,,,
ELEC,ELEC 403 Advanced Digital VLSI Systems,"Logical effort. Noise in digital systems. Low power techniques. Power distribution. SRAM and DRAM design. Non-volatile memory technologies. High speed adder, multiplier and divider design. Clock Trees. Synchronization and FIFO. Scaling, and industry trends. High-speed circuit design and layout project.",Credits: 3,"Pre-reqs:     One of ELEC 402, EECE 479.",null,,,,,,,,,,,,
LFS,"LFS 450 Land, Food, and Community III: Food System Sustainability",Problem-based analysis of complex case studies aimed at increasing the sustainability of the UBC Vancouver campus food system. The main activities are integrated into the ongoing UBC Food System Project. Cases are specifically designed to require development of integrated disciplinary and inter-disciplinary analysis.,Credits: 3,null,null,,,,,,,,,,,,
CHIN,CHIN 461 Early Classical Chinese Poetry (to Han),"Readings in classical poetry from the pre-Qin to the end of the Han Dynasties, at an advanced level. Not to be taken concurrently with any CHIN courses lower than 400-level.",Credits: 3,"Pre-reqs:     One of CHIN 313, CHIN 314, CHIN 317, CHIN 318, CHIN 323.",null,,,,,,,,,,,,
EDST,EDST 699 Doctoral Dissertation,Pass/Fail.,Credits: 0,null,null,,,,,,,,,,,,
STAT,STAT 521B Topics in Multivariate Analysis - FND MULTIVAR ANL,,Credits: 1.5,null,null,,,,,,,,,,,,
